Accuracy, Precision, Recall, Confusion Matrix
0.95,1.0,0.8571428571428571,[[13  0]  [ 1  6]],
Accuracy, Precision, Recall, Confusion Matrix
0.95,1.0,0.8571428571428571,[[13  0]  [ 1  6]],
Accuracy, Precision, Recall, Confusion Matrix
1.0,1.0,1.0,[[13  0]  [ 0  7]],
Accuracy, Precision, Recall, Confusion Matrix
0.95,1.0,0.8571428571428571,[[13  0]  [ 1  6]],
Accuracy, Precision, Recall, Confusion Matrix
0.95,1.0,0.8571428571428571,[[13  0]  [ 1  6]],
Accuracy, Precision, Recall, Confusion Matrix
1.0,1.0,1.0,[[13  0]  [ 0  7]],
Accuracy, Precision, Recall, Confusion Matrix
0.8,0.7142857142857143,0.7142857142857143,[[11  2]  [ 2  5]],
